sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,GROUP,BASEMAT,Composition_by_element,Composition_detailed,"mat_dimension(bulk, film, 1D, 2D)",SINTERING
171,2007.0,https://doi.org/10.1016/j.jcrysgro.2006.10.270,10.1016/j.jcrysgro.2006.10.270,Figure 9,BN coated,BN coated,Silicide,Mg2Si,MgSi,Mg2Si,Bulk,
173,2016.0,https://doi.org/10.1007/s11664-016-5088-y,10.1007/s11664-016-5088-y,Figure 6,x=0.04,x=0.04,Silicide,Ca2Si,CaAgSi,Ca1.96Ag0.04Si,Bulk,HP
176,2015.0,https://doi.org/10.1073/pnas.1424388112,10.1073/pnas.1424388112,Figure 4(D),Mg2Sn0.75Ge0.25,Mg2Sn0.75Ge0.25,Silicide,Mg2Si,MgSnGe,Mg2Sn0.75Ge0.25,Bulk,
178,2009.0,https://doi.org/10.1007/s11664-009-0735-1,10.1007/s11664-009-0735-1,Figure 2(d),Mg2Si0.6Ge0.4Bi0.02,Mg2Si0.6Ge0.4Bi0.02,Silicide,Mg2Si,MgSiGe Bi,Mg2Si0.6Ge0.4Bi0.02,Bulk,HP
179,2009.0,https://doi.org/10.1007/s11664-009-0735-1,10.1007/s11664-009-0735-1,Figure 5(d),Mg2Si0.6Ge0.4Ag0.02,Mg2Si0.6Ge0.4Ag0.02,Silicide,Mg2Si,MgSiGe Ag,Mg2Si0.6Ge0.4Ag0.02,Bulk,HP
183,2005.0,https://doi.org/10.1016/j.physb.2005.04.017,10.1016/j.physb.2005.04.017,Figure 6,2 at %,2 at %,Silicide,Mg2Si,MgSiBi,Mg2SiBi0.02,Bulk,SPS
184,2007.0,https://doi.org/10.1143/JJAP.46.3309,10.1143/JJAP.46.3309,Figure 7,x=0.03,x=0.03,Silicide,Mg2Si,Mg2Si,Mg2SiP0.03,Bulk,SPS
185,2007.0,https://doi.org/10.1016/j.intermet.2007.02.009,10.1016/j.intermet.2007.02.009,Figure 6,x=0.02,x=0.02,Silicide,Mg2Si,MgSiSb,Mg2Si:Sb = 1:x(0.001≤x≤0.02),Bulk,SPS
187,2016.0,https://doi.org/10.1021/acs.chemmater.6b02308,10.1021/acs.chemmater.6b02308,Figure 10(a),y=0.05,y=0.05,Silicide,Mg2Si,MgSiGeSnSb,Mg2Si1-x-yGexSny,Bulk,SPS
188,2008.0,https://doi.org/10.1063/1.2981516,10.1063/1.2981516,Figure 3,x=0.0075,x=0.0075,Silicide,Mg2Si,MgSiSnSb,Mg2Si0.4−xSn0.6Sbx  (0≤x≤0.015) ,Bulk,HP
189,2008.0,https://doi.org/10.1088/0022-3727/41/18/185103,10.1088/0022-3727/41/18/185103,Figure 8(a),x=0.005,x=0.005,Silicide,Mg2Si,MgSiSn La,Mg2−xLaxSi0.58Sn0.42 (0≤x≤0.015),Bulk,HP
194,2008.0,https://doi.org/10.1021/nl8026795,10.1021/nl8026795,Figure 2(_e),square symbol,square symbol,SiGe,SiGe,SiGe,Si80Ge20,Bulk,HP
196,2008.0,https://doi.org/10.1063/1.3027060,10.1063/1.3027060,Figure 3(d),Nano Sample-1 (red rectangle),Nano Sample-1 (red rectangle),SiGe,SiGe,SiGeP,Si80Ge20P2,Bulk,HP
197,2012.0,https://doi.org/10.1039/c2jm16369a,10.1039/c2jm16369a,Figure 5,In4Se2.32I0.03,In4Se2.32I0.03,Selenide,In4Se3,InSeI,In4Se2.32I0.03,Bulk,
200,2015.0,https://doi.org/10.1039/c4ee03042g,10.1039/c4ee03042g,Figure 1(d),x=0.20,x=0.20,HH,HH,FeNbTiSb,FeNb0.8Ti0.2Sb,Bulk,SPS
201,2015.0,https://doi.org/10.1039/C4EE02813A,10.1039/C4EE02813A,Fig. 2 (d),MgAgSb (extracted),p-type MgAgSb,HH,HH,MgAgNiSb,MgAg0.965Ni0.005Sb0.99,Bulk,SPS
202,2009.0,https://doi.org/10.1038/nature08088,10.1038/nature08088,Figure 2 d,b-c plane,b-c plane of In4Se2.35,Selenide,In4Se3,InSe,In4Se2.35,Bulk,
203,2015.0,https://doi.org/10.1039/C4CP04875J,10.1039/C4CP04875J,Fig. 6 (a),before,Ti0.3Zr0.35Hf0.35NiSn with no cycle,HH,HH,TiZrHfNiSn,Ti0.3Zr0.35Hf0.35NiSn,Bulk,
205,2002.0,https://doi.org/10.1088/0953-8984/14/34/318,10.1088/0953-8984/14/34/318,Figure 7,no label,the right y-axis means ZT,clathrate,clathrate,BaAlSi,Ba8Al16Si30,Bulk,
206,2015.0,https://doi.org/10.1039/C4CP04875J,10.1039/C4CP04875J,Fig. 6 (b),50 (number of cycles),Ti0.26Sc0.04Zr0.35Hf0.35NiSn with 50 cycle,HH,HH,TiScZrHfNiSn,Ti0.26Sc0.04Zr0.35Hf0.35NiSn,Bulk,
207,2008.0,https://doi.org/10.1063/1.2920210,10.1063/1.2920210,FIG. 2 (b),Ba0.08Yb0.09Co4Sb12,"In the other figures, x=0.08, y=0.09",SKD,SKD,BaYbCoSb,Ba0.08Yb0.09Co4Sb12.12,Bulk,
209,2009.0,https://doi.org/10.1016/j.jallcom.2008.09.120,10.1016/j.jallcom.2008.09.120,Fig. 12,HPed at 700oC for 3h under 70MPa,La0.4FeCo3Sb12 hot pressed sample,SKD,SKD,LaFeCoSb,La0.4FeCo3Sb12,Bulk,HP
212,2012.0,https://doi.org/10.1007/s10854-012-0668-y,10.1007/s10854-012-0668-y,Fig. 6,x=0.6,Co4Sb11.4Te0.6,SKD,SKD,CoSbTe,Co4Sb11.4Te0.6,Bulk,SPS
213,2002.0,https://doi.org/10.1063/1.1450036,10.1063/1.1450036,FIG. 9 (d),x=0.05,Ba0.3Ni0.05Co3.95Sb12,SKD,SKD,BaNiCoSb,Ba0.3Ni0.05Co3.95Sb12,Bulk,
214,2007.0,https://doi.org/10.1063/1.2538036,10.1063/1.2538036,FIG. 6,"773 K, Argon",,SKD,SKD,CoSb,CoSb3,Bulk,HP
215,2008.0,https://doi.org/10.1063/1.2963476,10.1063/1.2963476,FIG. 2 (d),"Co0.8Ni0.2Sb3, with pores",,SKD,SKD,CoNiSb,Co0.9Ni0.1Sb3,Bulk,
216,2009.0,https://doi.org/10.1016/j.jallcom.2009.01.067,10.1016/j.jallcom.2009.01.067,Fig. 6 (b),No label,CoSn1.5Se1.5,SKD,SKD,CoSnSe,CoSn1.5Se1.5,Bulk,
217,2005.0,https://doi.org/10.1063/1.2067704,10.1063/1.2067704,FIG. 11,x=0.5,Co4Sb11.5Te0.5,SKD,SKD,CoSbTe,Co4Sb11.5Te0.5,Bulk,SPS
218,2014.0,https://doi.org/10.1039/c4ta02780a,10.1039/c4ta02780a,Fig. 4 (d),x=0.15,CoSb2.85Te0.15,SKD,SKD,CoSbTe,CoSb2.85 Te0.15,Bulk,PAS
219,2007.0,https://doi.org/10.1063/1.2815671,10.1063/1.2815671,FIG. 8,x=0.15,CoSb2.85Te0.15,SKD,SKD,CoSbTe,CoSb2.85Te0.15,Bulk,SPS
221,2013.0,https://doi.org/10.1016/j.actamat.2013.07.032,10.1016/j.actamat.2013.07.032,Fig. 17,after HPT,Fe0.2Co3.8Sb11.6Te0.5 after high pressure torsion (HPT) process,SKD,SKD,FeCoSbTe,Fe0.2Co3.8Sb11.5Te0.5,Bulk,HP
222,2008.0,https://doi.org/10.1088/0022-3727/41/20/205403,10.1088/0022-3727/41/20/205403,Figure 5,N10-A,10 weight percentage CoSb3 nanoscale powder + Yb0.15Co4Sb12,SKD,SKD,YbCoSb,Yb0.15Co4Sb12,Bulk,SPS
223,2008.0,https://doi.org/10.1016/j.solidstatesciences.2008.01.016,10.1016/j.solidstatesciences.2008.01.016,Fig. 10,y=0.27,Eu0.27Co4Sb12,SKD,SKD,EuCoSb,Eu0.27Co4Sb12,Bulk,SPS
224,2011.0,https://doi.org/10.1063/1.3553842,10.1063/1.3553842,FIG. 8,PrFe4Sb12,PrFe4Sb12,SKD,SKD,PrFeSb,PrFe4Sb12,Bulk,SPS
225,2010.0,https://doi.org/10.1016/j.intermet.2009.06.005,10.1016/j.intermet.2009.06.005,Fig. 10 b,DD0.76Fe3.4Ni0.6Sb12,DD0.76Fe3.4Ni0.6Sb12,SKD,SKD,DDFeNiSb,DD0.76Fe3.4Ni0.6Sb12,Bulk,HP
226,2011.0,https://doi.org/10.1016/j.intermet.2010.12.001,10.1016/j.intermet.2010.12.001,Fig. 16,Mm0.68Fe3CoSb12,Mm0.68Fe3CoSb12,SKD,SKD,DDFeCoSb,DD0.65Fe3CoSb12,Bulk,HP
228,2015.0,https://doi.org/10.1016/j.actamat.2015.03.008,10.1016/j.actamat.2015.03.008,Fig. 13,"after HPT, T incr.",DD0.59Fe2.7Co1.3Sb11.8Sn0.2 with an additional process by HPT and increasing temperature,SKD,SKD,DDFeCoSbSn,DD0.59Fe2.7Co1.3Sb11.8Sn0.2,Bulk,HP
229,1996.0,https://doi.org/10.1126/science.272.5266.1325,10.1126/science.272.5266.1325,Fig. 5D,no label,LaFe3CoSb12,SKD,SKD,LaFeCoSb,LaFe3CoSb12,Bulk,
230,2008.0,https://doi.org/10.1063/1.2920210,10.1063/1.2920210,FIG. 2 (b),Ba0.08Yb0.09Co4Sb12,Ba0.08Yb0.09Co4Sb12,SKD,SKD,BaYbCoSb.,Ba0.08Yb0.09Co4Sb12.12,Bulk,
231,2011.0,https://doi.org/10.1021/ja111199y,10.1021/ja111199y,Fugure 5 (b),Ba0.08La0.05Yb0.04Co4Sb12,Ba0.08La0.05Yb0.04Co4Sb12,SKD,SKD,BaLaYbCoSb,Ba0.08La0.05Yb0.04Co4Sb12,Bulk,
232,2005.0,https://doi.org/10.1063/1.1852072,10.1063/1.1852072,FIG. 7,"#1610 (2.0% Ni, 0.75% Te)",Co0.98Ni0.02Sb2.25Te0.75,SKD,SKD,CoNiSbTe,Co0.92Ni0.08Sb2.97Te0.03,Bulk,
233,2011.0,https://doi.org/10.1021/cm200560s,10.1021/cm200560s,Figure 12,X = 0.20,CoSb2.75Ge0.05Te0.2,SKD,SKD,CoSbGeTe,CoSb2.75Ge0.05Te0.20,Bulk,
234,2001.0,https://doi.org/10.1023/A:1012473428845,10.1023/A:1012473428845,Figure 9,"(0.71, 0.12)",Ce0.12Fe0.71Co3.29Sb12,SKD,SKD,CeFeCoSb,Ce0.12Fe0.71Co3.29Sb12,Bulk,
236,2014.0,https://doi.org/10.1007/s11664-014-3016-6,10.1007/s11664-014-3016-6,Fig. 7,Co3.9Ni0.1Sb11.5Te0.4Se0.1,Co3.9Ni0.1Sb11.5Te0.4Se0.1,SKD,SKD,CoNiSbTeSe,Co3.9Ni0.1Sb11.3Te0.6Se0.1,Bulk,
237,2009.0,https://doi.org/10.1016/j.jallcom.2007.12.065,10.1016/j.jallcom.2007.12.065,Fig. 8,Ce0.3Yb0.2Fe1.5Co2.5Sb12,Ce0.3Yb0.2Fe1.5Co2.5Sb12,SKD,SKD,CeYbFeCoSb,Ce0.3Yb0.2Fe1.5Co2.5Sb12,Bulk,
239,2012.0,https://doi.org/10.1016/j.actamat.2011.10.059,10.1016/j.actamat.2011.10.059,Fig. 5,Li0.36Co4Sb12,Li0.36Co4Sb12,SKD,SKD,LiCoSb,Li0.36Co4Sb12,Bulk,
241,2009.0,https://doi.org/10.1021/ja8089334,10.1021/ja8089334,Figure 4 (d),0.14 0.23,Ba0.14In0.23Co4Sb12,SKD,SKD,BaInCoSb,Ba0.14In0.23Co4Sb11.84,Bulk,
242,2013.0,https://doi.org/10.1016/j.intermet.2012.08.005,10.1016/j.intermet.2012.08.005,Fig. 6,"x=0.25, y=0.60",Yb0.25La0.6Fe2.7Co1.3Sb12,SKD,SKD,YbLaFeCoSb,Yb0.25La0.60Fe2.7Co1.3Sb12,Bulk,
244,2016.0,https://doi.org/10.1063/1.4965865 ,10.1063/1.4965865 ,FIG. 15,PIN-3,Pb0.998In0.003Te,PbTe,PbTe,PbTeIn,Pb0.998Te1.000In0.003,Bulk,HP
246,2016.0,https://doi.org/10.1016/j.scriptamat.2016.05.016,10.1016/j.scriptamat.2016.05.016,Fig. 4 (c),x=0.02,PbTeCd0.02,PbTe,PbTe,PbTeCd,PbTeCd0.02,Bulk,HP
248,2016.0,https://doi.org/10.3938/jkps.69.1314,10.3938/jkps.69.1314,Fig. 11,1.5 vol.%,Bi2Te2.7Se0.3-1.5 vol% MgO nanocomposite sample,Bi2Te3,Bi2Te3,BiTeSeMgO,Bi2Te2.7Se0.3 1.5vol%MgO,Bulk,PAS
249,2016.0,https://doi.org/10.1063/1.4941757,10.1063/1.4941757,FIG. 4 (d),0.3vol.%,0.3vol.%(Cu2Se)/Bi0.4Sb1.6Te3,Bi2Te3,Bi2Te3,BiSbTeCuSe,Bi0.4Sb1.6Te3 0.3vol%Cu2Se,Bulk,
250,2016.0,https://doi.org/10.1039/c6ra24107g,10.1039/c6ra24107g,Fig. 6 (c),0.2 vol.%,0.2vol.%(Cu2O)/Bi0.4Sb1.6Te3,Bi2Te3,Bi2Te3,BiSbTeCuO,Bi0.4Sb1.6Te3 0.2vol%CuO,Bulk,HP
251,2012.0,https://doi.org/10.1039/c2jm31919e,10.1039/c2jm31919e,Fig. 9,"y=0.015, Ref. [14]",Mg2.16(Si0.4Sn0.6)0.985Sb0.015,Silicide,Mg2Si,MgSiSnSb,Mg2.16(Si0.4Sn0.6)0.975Sb0.025,Bulk,SPS
252,2017.0,https://doi.org/10.1016/j.actamat.2016.11.049,10.1016/j.actamat.2016.11.049,Fig. 5,CuSn7InTe9,CuSn7InTe9,Telluride,SnTe,CuSnInTe,CuSn7InTe9,Bulk,SPS
253,2016.0,https://doi.org/10.1039/C6TA09189J,10.1039/C6TA09189J,Figure 5 (d),PbTe0.66Se0.33 NWs,PbTe0.66Se0.33 nanowires,PbTe,PbTe,PbTeSe,PbTe0.66Se0.33,Bulk,SPS
255,2017.0,https://doi.org/10.1002/adma.201605140,10.1002/adma.201605140,Figure 4 e,0.010Pb,Bi0.7Sb1.3Te3 with 1% Pb nanocomposite,Bi2Te3,Bi2Te3,BiSbTe Pb,Bi0.7Sb1.3Te3 + 0.01at%Pb ,Bulk,SPS
256,2016.0,https://doi.org/10.1007/s11664-016-4953-z,10.1007/s11664-016-4953-z,Fig. 5,x=1,Bi0.48Sb1.52Te3 with 1 wt.% Cu,Bi2Te3,Bi2Te3,BiSbTe Cu,Bi0.48Sb1.52Te3 1wt%Cu,Bulk,SPS
257,2016.0,https://doi.org/10.1039/c6ee02674e,10.1039/c6ee02674e,Figure 7 (a),"x=1.0, y=0.02",BiSbTe3 with 2 at.% I,Bi2Te3,Bi2Te3,BiSbSe I,BiSbSe2.94I0.06,Bulk,SPS
258,2017.0,https://doi.org/10.1016/j.jallcom.2017.02.181,10.1016/j.jallcom.2017.02.181,Figure 4 (g),H2-annealed at 400 oC,Bi0.5Sb1.5Te3 with H2 annealing at 400 oC,Bi2Te3,Bi2Te3,BiSbTe,Bi0.5Sb1.5Te3,Bulk,SPS
259,2016.0,https://doi.org/10.1021/jacs.6b09568,10.1021/jacs.6b09568,Figure 6 (d),n = 6.4 x e19,3% BiCl3-doped K2Bi8Se13,Selenide,KBiSe,KBiSe,K2Bi8Se13,-,
260,2016.0,https://doi.org/10.1021/jacs.6b09222,10.1021/jacs.6b09222,Figure 8 f,bulk KBT,bulk K0.06Bi2Te3.18,Bi2Te3,Bi2Te3,BiTe K,K0.06Bi2Te3.18,Bulk,SPS
261,2016.0,https://doi.org/10.3938/jkps.69.811,10.3938/jkps.69.811,Fig. 3 (b),CBTS45,Cu0.008Bi2Te2.7Se0.3 sintered under 45 MPa,Bi2Te3,Bi2Te3,BiTeSe Cu,Cu0.008Bi2Te2.7Se0.3,Bulk,SPS
264,2007.0,https://doi.org/10.1109/ICT.2007.4569410,10.1109/ICT.2007.4569410,Figure 2 (d),Nanosized,"bulk nanostructured (Bi,Sb)2Te3 ternary compound",Bi2Te3,Bi2Te3,BiSbTe GeTe,BiSbTe + GeTe(nano),Bulk,
265,1997.0,https://doi.org/10.1109/ICT.1997.667089,10.1109/ICT.1997.667089,Fig. 4 (d),x = 0.15,(Pb0.9Ge0.1) hot-pressed at 650 oC,GeTe,GeTe,PbGeTe Bi,0.3wt%Bi + Pb0.9Ge0.1Te,Bulk,HP
266,1997.0,https://doi.org/10.1109/ICT.1997.667089,10.1109/ICT.1997.667089,Fig. 4 (d),x = 0.15,(Pb0.85Ge0.15) hot-pressed at 750 oC,GeTe,GeTe,PbGeTe Bi,0.3wt%Bi + Pb0.85Ge0.15Te,Bulk,HP
268,2008.0,https://doi.org/10.1088/0957-4484/19/24/245707,10.1088/0957-4484/19/24/245707,Figure 3 (a),TAGS-75,(GeTe)75(AgSbTe2)25,GeTe,GeTe,GeTeAgSbTe,(GeTe)75(AgSbTe2)25,Bulk,HP
269,2010.0,https://doi.org/10.1007/s11664-009-0993-y,10.1007/s11664-009-0993-y,Fig. 3,y=1.2,(GeTe)80(Ag1.2Sb0.8Te1.8)20,GeTe,GeTe,GeTeAgSbTe,(GeTe)80(Ag1.2Sb0.8Te1.8)20,Bulk,HP
270,2009.0,https://doi.org/10.1007/s11664-009-0779-2,10.1007/s11664-009-0779-2,Fig. 7,Ar,(AgSbTe2)15(GeTe)85 ball-milled at Ar atmosphere,GeTe,GeTe,GeTeAgSbTe,(GeTe)85(AgSbTe2)15,Bulk,SPS
272,2003.0,https://doi.org/10.1109/ICT.2003.1287500,10.1109/ICT.2003.1287500,Figure 3,TAGS: (GeTe)3(Ag0.8Sb1.2Te.2.2)1,,GeTe,GeTe,GeTeAgSbTe,(GeTe)8(Ag0.8Sb1.2Te2.2)2,Bulk,HP
273,2009.0,https://doi.org/10.1016/j.jssc.2009.05.024,10.1016/j.jssc.2009.05.024,Figure 5,TAGS-85,,GeTe,GeTe,AgSbTe GeTe,(AgSbTe2)0.15(GeTe)0.85,Bulk,SPS
275,2011.0,https://doi.org/10.1002/adfm.201001307,10.1002/adfm.201001307,Figure 6,TAGS-85+1%Ce,,GeTe,GeTe,AgSbGeTeCe,Ag6.52Sb6.52Ge36.96Te49.00Ce1.00,Bulk,
276,2004.0,https://doi.org/10.1016/j.jallcom.2004.01.018,10.1016/j.jallcom.2004.01.018,Figure 7,Hot pressed TlSbTe2,,Telluride,ABQ2,TlSbTe,TlSbTe2,Bulk,HP
279,2008.0,https://doi.org/10.1016/j.jallcom.2007.01.015,10.1016/j.jallcom.2007.01.015,Figure 7,0.1vol% SiC in Bi2Te3,0.1vol% SiC in Bi2Te3,Bi2Te3,Bi2Te3,BiTe SiC,Bi2Te3 0.1vol%SiC,Bulk,SPS
280,2006.0,https://doi.org/10.1063/1.2172705,10.1063/1.2172705,Figure 6,y = 0.28 (SryCo4Sb12),y = 0.28 (SryCo4Sb12),SKD,SKD,SrCoSb,Sr0.28Co4Sb12,Bulk,SPS
281,2009.0,https://doi.org/10.1016/j.actamat.2009.02.026,10.1016/j.actamat.2009.02.026,Figure 8,LM-SPSed Hf0.6Zr0.4NiSn0.98Sb0.02,,HH,HfNiSn,HfZrNiSnSb,Hf0.6Zr0.4NiSn0.98Sb0.02,Bulk,SPS
282,2010.0,https://doi.org/10.1016/j.actamat.2010.03.025,10.1016/j.actamat.2010.03.025,Figure 8,"x=0.26, y=0.2",YbxCo4Sb12/yGaSb,SKD,SKD,YbCoSb GaSb,Yb0.26Co4Sb12 / 0.2GaSb,Bulk,SPS
283,2008.0,https://doi.org/10.1063/1.3027060,10.1063/1.3027060,Figure 3(d),Nano Sample-1,,SiGe,SiGe,SiGe,SiGe nanopowder,Bulk,HP
284,2008.0,https://doi.org/10.1002/adfm.200800298,10.1002/adfm.200800298,Figure 6,x=0.8,Yb14Mn1-xAlxSb11,SKD,SKD,YbMnAlSb,Yb14Mn0.2Al0.8Sb11,Bulk,HP
286,2008.0,https://doi.org/10.1063/1.2951888,10.1063/1.2951888,Figure 9,x = 0.5,,clathrate,clathrate,YbBaGaGe,Yb0.5Ba7.5Ga16Ge30,Bulk,SPS
288,2008.0,https://doi.org/10.1021/cm802367f,10.1021/cm802367f,Figure 5(b),CoSb2.75Te0.20Sn0.05,,SKD,SKD,CoSbTeSn,CoSb2.75Te0.2Sn0.05,Bulk,SPS
289,2008.0,https://doi.org/10.1063/1.2936277,10.1063/1.2936277,Figure 4(b),y = 0.3,,SKD,SKD,YbCoSb,Yb0.2Co4Sb12.3,Bulk,SPS
291,2006.0,https://doi.org/10.1063/1.2180432,10.1063/1.2180432,Figure 10,x = 9,,HH,ZrNiSn,ZrHfNiPdSnSb ZrO,Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01 ZrO2,Bulk,SPS
292,2014.0,https://doi.org/10.1063/1.4896520,10.1063/1.4896520,Figure 3(d),ZT across the layer plance (ac),,Cu2Q,M2Q,CuSeAl,Cu1.94Al0.02Se,Bulk,HP
294,2013.0,https://doi.org/10.1002/adma.201302660,10.1002/adma.201302660,Figure 1,Cu2Se,,Cu2Q,M2Q,CuSe I,Cu2Se1-xIx,Bulk,SPS
295,2012.0,https://doi.org/10.1038/NMAT3273,10.1038/NMAT3273,Figure 2(d),beta-Cu2Se,,Cu2Q,M2Q,CuSe,Cu2Se,Bulk,SPS
296,2015.0,https://doi.org/10.1038/am.2015.91,10.1038/am.2015.91,Figure 3(d),833 K,annealed at 833 K,Cu2Q,M2Q,CuTe,Cu2Te,Bulk,SPS
298,2014.0,https://doi.org/10.1007/s40243-014-0026-5,10.1007/s40243-014-0026-5,Figure 2(f),Cu1.97Ag0.03Se,,Cu2Q,M2Q,CuSe Ag,Cu1.97Ag0.03Se,Bulk,HP
299,2013.0,https://doi.org/10.1039/c3ta12508d,10.1039/c3ta12508d,Figure 9,Cu2Se,,Cu2Q,M2Q,CuSe,Cu2Se,BUlk,SPS
301,2017.0,https://doi.org/10.1002/adma.201605887,10.1002/adma.201605887,Figure 7,x=0.14(1.1E20) 5%Sn excess,Sn0.91Mn0.14Te(Cu2Te ) 0.05,Telluride,SnTe,SnMnTeCu,Sn0.89Mn0.14Te(Cu2Te)0.05,Bulk,HP
302,2017.0,https://doi.org/10.1016/j.jallcom.2017.02.295,10.1016/j.jallcom.2017.02.295,Figure 4,x=0.01,BixCu1.8-xS,Cu2Q,M2Q,BiCuS,Bi0.01Cu1.79S,Bulk,SPS
312,2022.0,https://doi.org/10.1038/s41467-022-33774-z,10.1038/s41467-022-33774-z,Figure 5(a),x=0.07 873K,"Sintering T 873 K, x=0.07 (BixGe0.97-xTe)",GeTe,GeTe,GeBiTe,Bi0.07Ge0.90Te-873,Bulk,"SPS 5min, 60 Mpa"
313,2021.0,https://doi.org/10.1016/j.apsusc.2021.150873,10.1016/j.apsusc.2021.150873,figure 7(b),a direction 900 K,"p-type single-layer Sb2Si2Te6, a direction, 900 K",Sr2Si2Te6,Sr2Si2Te6,Single-layer Sb2Si2Te6,"Single-layer Sb2Si2Te6, calculation, ",2D,
330,2021.0,https://doi.org/10.1038/s41563-021-01064-6,10.1038/s41563-021-01064-6,Figure 5,x=0.03,,Selenide,SnSe,NaSnSe,Na0.03Sn0.965Se purified,,
331,2018.0,https://doi.org/10.1126/science.aaq1479,10.1126/science.aaq1479,Figure 1(a),"n-type SnSe, 1.2E19",,Selenide,SnSe,BrSnSe,SnSe1-xBrx (x=0-0.03),,
332,2019.0,https://doi.org/10.1016/j.joule.2019.01.001,10.1016/j.joule.2019.01.001,Figure 1,parallel to press direction of SPS,,Selenide,SnSe,SnSePbSe,Na0.01(Sn0.95Pb0.05)0.99Se,,
351,2021.0,https://doi.org/10.1038/s41467-021-21391-1,10.1038/s41467-021-21391-1,Figure 2,"Segmented, n-type Sb0.5 for T<425K, n-type Sb0.5 for T>425K","Segmented, n-type Sb0.5 for T<425K, n-type Sb0.5 for T>425K",Mg3Sb2,"Mg3(Bi,Sb)2",MgBiSbTe,Mg3.3Bi1.298Sb0.7Te0.002+Mg3.3Bi1.498Sb0.5Te0.002,,
352,2021.0,https://doi.org/10.1038/s41467-021-21391-1,10.1038/s41467-021-21391-1,Figure 2,p-type,p-MgAgSb: MgAg0.97Sb0.99,HH,MgAgSb,MgAgSb,MgAg0.97Sb0.99,,
353,2018.0,https://doi.org/10.1038/s41467-018-04958-3,10.1038/s41467-018-04958-3,Figure 6(c) ,ZrCoBi0.65Sb0.15Sn0.2,,HH,ZrCoBi,ZrCoBiSbSn,ZrCoBi0.65Sb0.15Sn0.2,,
354,2016.0,https://doi.org/10.1038/nnano.2016.182,10.1038/nnano.2016.182,Figure 3,MNC35,xBaM/Ba0.3In0.3Co4Sb12,SKD,CoSb3,x%BaFeO-NP / BaInCoSb,0.35%BaFeO-NP / Ba0.3In0.3Co4Sb12,,
355,2016.0,https://doi.org/10.1038/ncomms12167,10.1038/ncomms12167,Figure 5(a),"Pb0.98Na0.02Te-8% SrTe, non-equilibrium, this study",,PbTe,PbTe,PbNaTe-8%SrTe,Pb0.98Na0.02Te-8%SrTe,,
356,2019.0,https://doi.org/10.1038/s41467-019-10476-7 ,10.1038/s41467-019-10476-7 ,Figure 6,Pb0.14,Bi0.86Pb0.14CuSeO,Oxide,BiCuSeO,BiPbCuSeO,Bi0.86Pb0.14CuSeO,,
358,2021.0,https://doi.org/10.1126/science.abb3517,10.1126/science.abb3517,Figure 4,AgSb0.94Cd0.06Te2,AgSb1–xCdxTe2,AgSbQ2,AgSbTe2,AgSbCdTe,AgSb0.94Cd0.06Te2,,
359,2019.0,https://doi.org/10.1126/science.aax5123,10.1126/science.aax5123,Figure 6(a) ,x = 0.09,SnS1-xSex,Sulfide,SnS,SnSSe,SnS0.91Se0.09,,
360,2021.0,https://doi.org/10.1126/science.abe1292,10.1126/science.abe1292,Figure 4(d),"x = 0.25, y = 0.10",Pb0.89Sb0.012Sn0.1Se0.5Te0.25S0.25,Selenide,PbSe,PbSbSnSeTeS,Pb0.89Sb0.012Sn0.1Se0.5Te0.25S0.25,,
361,2019.0,https://doi.org/10.1126/science.aax7792,10.1126/science.aax7792,Figure 4(f),x = 0.5,Mg3.2Bi1.298Sb0.7Te0.002,Mg3Sb2,Mg3Bi2,MgBiSbTe,Mg3.2Bi1.298Sb0.7Te0.002,,
362,2020.0,https://doi.org/10.1039/d0ee02638g,10.1039/d0ee02638g,Figure 5(f),x = 0.004,Sb2Te3(Sn0.006Re0.004Te)8,Bi2Te3,Sb2Te3,SbTeSnReTe,Sb2Te3(Sn0.006Re0.004Te)8,,
363,2021.0,https://doi.org/10.1039/d0ee03459b,10.1039/d0ee03459b,Figure 9(b),n = 0.3,Cu0.033PbSb0.03TeSe0.06,PbTe,PbTe,CuPbSbTeSe,Cu0.033PbSb0.03TeSe0.06,,
364,2021.0,https://doi.org/10.1039/d0ee02791j,10.1039/d0ee02791j,Figure 2(d),Ge0.92Sb0.04Bi0.04Te0.95Se0.05,Ge0.92Sb0.04Bi0.04Te0.95Se0.05,GeTe,GeTe,GeSbBiTeSe,Ge0.92Sb0.04Bi0.04Te0.95Se0.05,,
365,2016.0,https://doi.org/10.1039/d0ee01349h,10.1039/d0ee01349h,Figure 2(a),BTS+15Te+0.20Sb,Bi1.8Sb0.2Te2.7Se0.3 + 15 wt% Te,Bi2Te3,Bi2Te3,BiSbTeSe,Bi1.8Sb0.2Te2.7Se0.3 + 15 wt% Te,,
366,2019.0,https://doi.org/10.1039/c9ee01137d,10.1039/c9ee01137d,Figure 6(a) ,x = 0.02,PbTeCu0.002,PbTe,PbTe,PbTeCu,PbTeCu0.002,,
367,2020.0,https://doi.org/10.1039/c9ee03087e,10.1039/c9ee03087e,Figure 8,x = 6%,Pb0.98K0.02Se + 6% CdSe,Selenide,PbSe,PbKSeCdSe,Pb0.98K0.02Se + 6% CdSe,,
